System.names	No.genes	Selection.pressure	p	q	Genes	Gene.ranks	Signal
PBX3	282	0.6525	0	0	ROR1|PBX2|NSMAF|ARPC2|FMOD|ENDOD1|HADHA|LRRC32|SRF|ZEB2|PLK1|ADAM28|POLD3|BST1|ZNF318|PTPRN2|ABLIM1|JUP|OAS1|SEPT7	6|46|52|54|110|117|152|164|176|222|244|257|269|275|312|333|338|348|382|382	6.33|5.67|5.59|5.58|5.33|-5.3|5.15|5.11|5.07|4.91|4.85|4.81|4.77|4.76|4.69|4.64|4.63|4.61|4.52|4.52
IRF7	293	0.1636	0.005	0.8073	RDBP|PTPRCAP|TPP1|IFI35|HLA-DMA|POLR2F|LRRC32|PLCB2|UBA7|TLE1|RNF41|DSTN|POLD1|PMPCA|PADI2|RHOQ|DBF4|UBL4A|RFPL1|CTF1	70|96|101|103|110|139|164|187|199|216|248|251|253|257|261|293|307|333|344|382	5.51|5.39|5.37|5.36|5.33|5.22|5.11|5.03|-5|4.93|-4.84|-4.83|4.82|-4.81|-4.79|-4.72|4.7|-4.64|-4.62|-4.52
KLF12	263	0.0528	0.005	0.8073	QPCT|SMAP1|FABP5|LOC100129361|NCKAP1L|UBE2E1|LCP1|PHF21A|POLD4|RNF115|UBE2A|TLE1|WNT5A|R3HDM1|MPG|CUL3|MET|TKTL1|ST20|TOP1	29|56|75|77|82|87|126|156|186|209|210|216|248|251|269|297|432|432|436|485	5.78|-5.57|5.49|5.48|-5.45|5.42|5.28|-5.14|5.04|4.96|-4.95|4.93|-4.84|4.83|4.77|-4.71|4.43|-4.43|4.42|4.3
ELF2	226	0.0366	0.007	0.8073	WBP4|RFK|FABP5|GOLGB1|SLC25A36|CLK1|RBM39|ACOT7|HNRNPK|SETD3|TSHB|TLE1|KIF3A|PIGH|TTF1|USPL1|ADAM28|NCOA1|DHCR24|USP24	27|63|75|100|110|135|142|146|168|179|199|216|219|228|234|236|257|257|275|297	5.81|5.54|5.49|-5.38|-5.33|5.24|5.21|-5.17|5.1|5.06|5|4.93|4.92|-4.9|4.88|4.87|4.81|4.81|4.76|4.71
NR3C2	161	0.0247	0.009	0.8073	SORBS2|VPS41|GTF2I|BLVRB|PADI2|FLT3|CDKN1B|MET|LDOC1|ACVRL1|Rnf113a2|PATZ1|TBX19|GDPD5|IGF2BP3|AGFG2|MMP13|QKI|MAP2|PTGES	96|96|172|179|261|369|407|432|436|472|472|574|598|606|618|655|706|779|838|848	-5.39|5.39|-5.08|-5.06|-4.79|4.55|-4.47|4.43|4.42|4.33|-4.33|-4.15|4.11|-4.09|-4.07|-4.01|-3.94|-3.85|3.73|-3.72
TSC22D3	333	0.095	0.01	0.8073	TXNL4A|CLTA|ZFP36L2|UBE2L3|CFDP1|RBM39|FMNL1|SERPINB6|KLC1|ETFDH|CNPY3|RNF41|BANF1|PIK3IP1|DDIT4|DOK1|MCM4|KDELR2|EIF1|KPNA2	12|28|84|106|126|142|168|194|205|244|248|248|293|333|344|351|407|432|450|467	6.1|5.8|5.43|-5.34|-5.28|5.21|5.1|5.01|4.98|-4.85|-4.84|-4.84|4.72|4.64|-4.62|-4.6|4.47|-4.43|-4.37|-4.34
ZNHIT3	390	0.102	0.011	0.8073	COX10|RAB3GAP2|CYP24A1|NLGN4Y|CLEC11A|UBE2L3|ACADL|SRSF3|DRG1|LILRB2|ZBTB16|UBA7|LYPLA1|HBXIP|STARD13|DBF4|SC4MOL|SPRY2|STMN1|PLEKHB1	4|54|57|78|82|106|129|135|152|176|190|199|222|234|269|307|307|316|316|333	6.37|5.58|-5.56|5.47|5.45|-5.34|-5.27|-5.24|5.15|-5.07|5.02|-5|4.91|-4.88|4.77|4.7|4.7|-4.68|4.68|4.64
PPARG	331	0.0533	0.011	0.8073	MTF1|RIN2|LOC100129361|SLC2A3|DST|ENSA|THOC2|ARHGEF17|VWA5A|LILRB2|BLVRB|SERPINB6|RECQL|GRAP2|KIF3A|PLIN2|MPG|CFD|VWF|GATA4	39|72|77|91|112|112|115|126|129|176|179|194|202|207|219|222|269|289|327|344	5.71|-5.5|5.48|5.41|5.32|5.32|5.31|-5.28|5.27|-5.07|-5.06|5.01|4.99|4.97|4.92|4.91|4.77|4.73|-4.65|4.62
ZNF510	259	0.0463	0.013	0.8073	ROR1|KCNAB1|POU3F2|MANF|PSMC1|LRRC32|RPIA|ARID4A|BST2|NFX1|BMPR2|RNF41|DSTN|POLD1|ADAM28|SCRN1|OVGP1|RFPL1|MCM4|UVRAG	6|14|18|30|36|164|190|209|228|228|244|248|251|253|257|275|312|344|407|436	6.33|6.07|6|5.77|5.72|5.11|5.02|4.96|4.9|4.9|-4.85|-4.84|-4.83|4.82|4.81|4.76|4.69|-4.62|4.47|-4.42
NEUROD1	179	0.0184	0.013	0.8073	ZBTB43|TIAM1|NLGN4Y|CLEC11A|DST|GFPT2|WNK1|DSCR3|JUP|FAM120A|SCAMP1|ATXN2L|ATP11B|TBX19|CTTN|DNAJB1|RPS27|PTPN2|TRIM9|MCFD2	11|33|78|82|112|199|219|238|348|358|392|445|494|598|604|655|762|838|875|929	6.11|5.74|5.47|5.45|5.32|-5|4.92|4.86|4.61|4.58|4.5|4.38|4.29|4.11|4.1|-4.01|-3.87|3.73|-3.69|-3.63
POU2F1	311	0.0389	0.017	0.8746	DST|CAMSAP1L1|RPS19|PLXNA2|M6PR|WDR73|CREG1|SRGN|CTF1|LCP2|WIPI1|CSRP1|ASL|SRSF10|INTS1|ICAM4|RPL34|APBB2|LYPD3|POU4F1	112|115|148|156|202|253|307|312|382|402|426|467|485|509|547|586|590|618|631|655	5.32|5.31|5.16|5.14|-4.99|-4.82|4.7|-4.69|-4.52|4.48|4.44|4.34|4.3|-4.26|-4.18|-4.13|-4.12|-4.07|-4.05|-4.01
ZNF592	318	0.0477	0.019	0.8746	KCNAB2|UBE2E1|UTF1|CLCN7|PRKAA2|ERH|HSPA13|SUPT5H|C1QL1|RECQL|SOD1|NCOA1|SEC22B|MYO1B|KLK3|KDM6B|PHKA2|TBCE|SLC5A6|TKTL1	52|87|115|126|135|142|184|184|194|202|234|257|259|280|321|373|402|402|415|432	5.59|5.42|5.31|5.28|5.24|-5.21|-5.05|5.05|5.01|4.99|-4.88|4.81|4.8|-4.75|4.66|-4.54|-4.48|4.48|4.46|-4.43
SUPT6H	247	0.0264	0.02	0.8746	CPT1B|SRRT|RPL38|SUPT5H|PMF1|TTF1|SEC22B|STARD13|BST1|DDIT4|ID2|SAFB|ALDOC|SLC5A6|ATXN2L|FAM3C|LCT|DYNC1H1|OAS2|DMPK	21|120|168|184|186|234|259|269|275|344|344|397|407|415|445|485|494|529|529|558	5.9|5.29|-5.1|5.05|5.04|4.88|4.8|4.77|4.76|-4.62|4.62|4.49|4.47|4.46|4.38|-4.3|4.29|4.22|4.22|4.17
EMX2	210	0.0163	0.024	0.8746	COX10|ROR1|CPT1B|PTCH1|KCNAB2|NLGN4Y|RAD23B|FMOD|ARHGEF17|RPS19|HNRNPK|SULT4A1|NFATC4|PADI2|POLD3|WIPI1|CHRND|DLST|HNRNPA0|NPTX1	4|6|21|47|52|78|100|110|126|148|168|205|230|261|269|426|456|494|558|574	6.37|6.33|5.9|5.63|5.59|5.47|5.38|5.33|-5.28|5.16|5.1|4.98|4.89|-4.79|4.77|4.44|4.36|4.29|-4.17|-4.15
DDIT3	263	0.0176	0.025	0.8746	CPT1B|BDNF|TSN|CAMSAP1L1|EIF4G3|VDAC2|PHF21A|LRRC32|RAP2A|SUPT5H|ARID4A|SOD1|USPL1|IDI1|EPRS|GPLD1|JOSD1|MRFAP1L1|PLAT|UBL4A	21|27|61|115|130|144|156|164|164|184|209|234|236|269|284|284|307|327|333|333	5.9|5.81|5.55|5.31|5.26|-5.19|-5.14|5.11|5.11|5.05|4.96|-4.88|4.87|-4.77|4.74|4.74|4.7|4.65|4.64|-4.64
ZNF259	388	0.0306	0.027	0.8746	RABEPK|SAA1|ADA|ARL4A|MTHFD2|AAMP|IFI35|ENSA|CLK1|ACOT7|TTLL3|DRG1|PLCB2|SAT1|SLC25A12|KLC1|CD14|CTNND1|BST2|SOD1	1|13|43|70|75|91|103|112|135|146|146|152|187|190|194|205|207|216|228|234	6.47|6.09|5.68|5.51|-5.49|5.41|5.36|5.32|5.24|-5.17|5.17|5.15|5.03|5.02|5.01|4.98|4.97|-4.93|4.9|-4.88
