	brca_diff_log_ps5	luad_diff_log_ps5	ucec_diff_log_ps5	lgg_diff_log_ps5	hnsc_diff_log_ps5	prad_diff_log_ps5	thca_diff_log_ps5	lusc_diff_log_ps5	skcm_diff_log_ps5	stad_diff_log_ps5	ov_diff_log_ps5	blca_diff_log_ps5	gbm_diff_log_ps5	coad_diff_log_ps5	lihc_diff_log_ps5	kirc_diff_log_ps5	cesc_diff_log_ps5	kirp_diff_log_ps5	sarc_diff_log_ps5	laml_diff_log_ps5	esca_diff_log_ps5	pcpg_diff_log_ps5	paad_diff_log_ps5	tgct_diff_log_ps5	read_diff_log_ps5	thym_diff_log_ps5	acc_diff_log_ps5	meso_diff_log_ps5	uvm_diff_log_ps5	kich_diff_log_ps5	ucs_diff_log_ps5	dlbc_diff_log_ps5	chol_diff_log_ps5	pancancer_diff_log_ps5
A1BG	0.0	0.0	0.0	0.0	0.451	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.312	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.097	0.0	0.0	0.149	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1CF	0.509	0.0	0.0	0.185	0.0	0.645	0.053	0.198	0.0	0.146	0.037	0.0	0.126	0.0	0.186	0.226	0.0	0.0	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.113	0.0
A2M	0.242	0.687	0.0	0.0	0.0	0.0	0.026	0.626	0.0	0.0	0.0	0.0	0.0	0.316	0.0	0.051	0.024	0.053	0.315	0.0	0.377	0.133	0.0	0.054	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.056	0.0
A2ML1	0.0	1.178	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.435	0.0	0.213	0.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.287	0.073	0.032	0.129	0.0	0.0	0.0	0.0	0.0	0.0
A4GALT	0.0	0.0	0.0	0.0	0.0	0.363	0.0	0.0	0.0	0.219	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.145	0.115	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4GNT	0.0	0.583	0.0	0.0	0.0	0.07	0.0	0.926	0.0	0.0	0.177	0.0	0.118	0.076	0.0	0.026	0.243	0.0	0.042	0.0	0.061	0.0	0.03	0.0	0.451	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0
AAAS	0.0	0.0	0.243	0.0	0.075	0.0	0.026	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.148	0.011	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AACS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.057	0.302	0.0	0.0	0.105	0.241	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADAC	0.495	0.349	0.0	0.0	0.088	0.0	0.0	0.59	0.0	0.66	0.0	0.0	0.0	0.759	0.0	0.0	0.0	0.0	0.085	0.108	0.0	0.0	0.0	0.0	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2	0.0	0.0	0.48	0.712	0.0	0.0	0.128	0.324	0.584	0.223	0.0	0.316	0.365	0.238	0.099	0.0	0.451	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.098	0.0	0.0	0.0	0.0	0.0	0.115	0.0	0.0	1.351
AADACL3	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.148	0.0	0.056	0.343	0.255	0.0	0.0	0.128	0.0	0.0	0.0	0.245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.144	0.0	0.0
AADACL4	0.211	0.0	0.0	0.104	0.157	0.703	0.0	0.0	0.0	0.0	0.0	0.511	0.613	0.664	0.0	0.244	0.0	0.0	0.12	0.0	0.0	0.102	0.061	0.0	0.108	0.0	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.0
AADAT	0.0	0.0	0.248	0.0	0.0	0.152	0.0	0.0	0.0	0.625	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAED1	0.0	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAGAB	0.0	0.0	0.0	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.0	0.0	0.0	0.098	0.164	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.184	0.0	0.0	0.0	0.0	0.0	0.0	0.138	0.0	0.0
AAK1	0.322	0.048	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.269	0.0	0.02	0.0	0.0	0.159	0.0	0.447	0.077	0.0	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAMDC	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137	0.018	0.291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AANAT	0.0	0.0	0.0	0.373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.359	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.0	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AARD	0.0	0.549	0.0	0.0	0.0	0.0	0.0	0.229	0.0	0.0	0.0	0.0	0.078	0.0	0.409	0.0	0.038	0.0	0.0	0.0	0.281	0.0	0.132	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AARS	0.819	0.0	0.0	0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.377	0.188	0.0	0.0	0.0	0.0	0.0	0.104	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.126	0.0	0.0	0.0
AARS2	0.0	0.572	0.0	0.0	0.0	0.0	0.0	0.682	0.0	0.811	0.0	0.0	0.0	0.0	0.131	0.0	0.017	0.053	0.0	0.0	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.0	0.0	0.098	0.0	0.0	0.0
AARSD1	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASDH	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.29	0.0	0.0	0.072	0.049	0.216	0.0	0.0	0.0	0.189	0.0	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASDHPPT	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASS	0.0	0.0	0.0	0.0	0.0	0.0	0.166	0.337	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.33	0.227	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0
AATF	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.159	0.21	0.148	0.0	0.0	0.0	0.112	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108	0.0	0.0	0.0	0.0	0.121	0.0	0.0
