	System index	System clixo/louvain name	Genes	Selection pressure	p	q	Mutation model input	Rank of model input	Mutation count
0	22493	cut0.3-482	1149 genes including: TP53,PIK3CA,RB1,KDM6A,ARID1A,KMT2D,KMT2C,EP300,ATM,FBXW7,CREBBP,CDKN2A,ASXL2,PHF3,KANSL1,RBM26,BCLAF1,TRRAP,PSIP1,DIDO1,SF3B1,ATR,ACTB,PTEN,METTL3,SF3B3,STAG2,BRCA1,NKTR,FNBP4,CHD2,ATN1,SMARCA2,RAD21,CDK12,ARID2,ZC3H13,ARID1B,RBBP6,ZMYM4,IPO7,SCAF4,CASP8,USP7,ASXL1,THRAP3,RBM10,RSRC2,SMC6,ALYREF	0.330583	0.0001	0.0882	3.608|2.782|2.747|2.708|2.674|2.609|2.173|2.061|1.908|1.885|1.788|1.742|1.648|1.473|1.438|1.374|1.359|1.345|1.332|1.322|1.313|1.248|1.209|1.205|1.19|1.187|1.184|1.175|1.16|1.16|1.132|1.118|1.089|1.07|1.059|1.052|1.018|1.009|1.002|0.989|0.981|0.962|0.953|0.949|0.947|0.93|0.928|0.925|0.91|0.901	1|2|3|4|5|6|9|11|13|14|16|18|22|28|32|37|38|40|43|44|45|52|57|58|59|60|61|62|67|67|72|76|84|88|94|95|103|109|111|115|118|126|135|138|139|148|149|152|166|173	200|89|77|104|104|117|79|63|55|33|51|27|35|29|24|20|22|38|20|35|24|31|17|16|17|22|56|21|22|17|28|16|26|17|29|32|17|24|20|20|20|20|15|15|24|17|17|12|12|12
1	21716	23315	TP53,RB1,CDKN1A,CREBBP,CDKN2A,SKP2,RBL2,RBL1,CDC20,E2F1,E2F4,KAT2B,CDK2,CCNA2,CCNE1	0.185602	0.0001	0.0882	3.608|2.747|2.124|1.788|1.742|0.307|0.066|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|3|10|16|18|1624|3502|17469|17469|17469|17469|17469|17469|17469|17469	200|77|39|51|27|6|10|10|4|4|2|4|1|3|3
2	19962	21558	FGFR3,ERBB3,ERBB2,FGFR4	0.117322	0.0002	0.0882	2.209|1.752|1.434|0.0	8|17|33|17469	57|43|50|5
3	21091	22687	PIK3CA,ACTB,CAP1,ACTG1,CFL1,CAP2	0.071776	0.0002	0.0882	2.782|1.209|0.885|0.742|0.0|0.0	2|57|184|309|17469|17469	89|17|12|11|1|3
4	20721	22317	ARID1A,ARID2,ARID1B,GLTSCR1L,BCL7C	0.025907	0.0003	0.0882	2.674|1.052|1.009|0.0|0.0	5|95|109|17469|17469	104|32|24|9|0
5	21667	23265	TP53,RB1,CDKN1A,ATM,ATR,CHEK2,KIF11,MTMR14,MDM2,MDM4,TP53BP1,YLPM1,MRPL46	0.243906	0.0004	0.0882	3.608|2.747|2.124|1.908|1.248|0.493|0.122|0.106|0.0|0.0|0.0|0.0|0.0	1|3|10|13|52|818|2968|3108|17469|17469|17469|17469|17469	200|77|39|55|31|10|8|5|3|2|23|11|0
6	21575	23172	TP53,BRCA1,BRCA2,BARD1,BLM,RAD51,RAD51C,FANCD2,BUB1B,PLK1	0.061375	0.0004	0.0882	3.608|1.175|0.923|0.83|0.547|0.483|0.363|0.295|0.0|0.0	1|62|154|230|655|841|1329|1697|17469|17469	200|21|40|11|16|7|6|17|10|4
7	21350	22946	ARID1A,ARID2,ARID1B,ACTL6A,SMARCC1,SMARCE1,SMARCB1	0.026347	0.0004	0.0882	2.674|1.052|1.009|0.452|0.394|0.27|0.265	5|95|109|950|1177|1865|1896	104|32|24|7|10|4|5
8	20378	21974	HRAS,KRAS,BRAF,RAF1	0.019748	0.0004	0.0882	1.337|1.252|0.491|0.0	42|51|825|17469	17|15|13|5
9	20703	22299	SF3B1,SF3B3,RBM17,PHF5A,SF3A2	0.017699	0.0004	0.0882	1.313|1.187|0.841|0.0|0.0	45|60|218|17469|17469	24|22|11|1|1
10	21429	23025	TP53,RB1,CDKN1A,PCNA,CDK4,CDK2,CCND1,CDK1	0.048052	0.0006	0.1029	3.608|2.747|2.124|0.328|0.016|0.0|0.0|0.0	1|3|10|1497|4005|17469|17469|17469	200|77|39|5|4|1|5|1
11	21663	23261	ARID1A,SMARCA2,ARID2,ARID1B,DPF2,ACTL6A,SMARCC1,SMARCE1,SMARCB1,SMARCA4,SMARCC2,SMARCD1,SMARCD2	0.042561	0.0006	0.1029	2.674|1.089|1.052|1.009|0.63|0.452|0.394|0.27|0.265|0.069|0.0|0.0|0.0	5|84|95|109|479|950|1177|1865|1896|3465|17469|17469|17469	104|26|32|24|8|7|10|4|5|24|17|5|1
