	System_index	System_name	Genes	Selection_pressure	p	q	Model_input	Rank_of_model_input	Mutation_count
0	19148	GO:0042405	TPR,RANBP2,ATXN1,ATXN3,STUB1,NUP153,RAD18,NXF1,NUP98,PABPN1,SLF1,NBN	0.015076	0.0003	0.1693	1.096|1.064|0.813|0.55|0.319|0.299|0.294|0.282|0.076|0.0|0.0|0.0	62|71|206|668|1885|2026|2065|2161|4292|18217|18217|18217	27|22|12|6|4|11|6|6|12|2|0|6
1	19559	GO:0097433	PIWIL1,SYBU,ACTG1,PIWIL2,ACTB,SND1	0.016939	0.0006	0.1693	1.264|0.882|0.6|0.384|0.302|0.188	34|146|532|1438|2010|3046	22|14|6|10|7|6
2	19347	GO:0048788	PCLO,RIMS1,RIMS2,BSN,RIMS3,RIMS4	0.008105	0.0006	0.1693	0.88|0.871|0.563|0.528|0.146|0.0	147|152|625|744|3489|18217	38|14|16|20|3|1
3	18419	GO:0005694	1028 genes including: TP53,GATA3,NCOR1,BRCA2,ARID1A,TTN,CTCF,BRCA1,KMT2E,TAF1,SRCAP,KDM6A,CHD4,TPR,NRIP1,MSH5,KIF4A,POGZ,ASH1L,SETD2,HIST1H2BC,PLK2,ARID1B,RB1,JMJD1C	0.133743	0.0007	0.1693	4.24|3.238|1.987|1.688|1.668|1.49|1.393|1.35|1.262|1.225|1.223|1.173|1.171|1.096|1.05|1.022|0.995|0.981|0.979|0.92|0.92|0.915|0.909|0.886|0.872	1|3|10|14|15|21|25|28|35|40|41|47|48|62|76|82|92|101|103|126|126|130|132|144|151	346|127|50|29|39|189|21|27|19|24|27|21|26|27|13|11|22|14|28|22|9|12|21|25|20
4	18289	GO:0000800	BRCA2,BRCA1,CCDC155,SMC1B,REC8,BLM,SMC3,RAD21L1,RAD51,INCENP,MEI4,SYCP3,SYCP2	0.009418	0.0007	0.1693	1.688|1.35|0.599|0.519|0.503|0.462|0.0|0.0|0.0|0.0|0.0|0.0|0.0	14|28|537|784|853|1040|18217|18217|18217|18217|18217|18217|18217	29|27|8|10|8|16|7|4|1|6|0|0|14
5	18648	GO:0016514	ARID1A,ARID1B,RB1,SMARCA4,ACTL6B,SMARCC2,SMARCA2,SMARCB1,SMARCE1,NCR1,SMARCD1,ACTL6A,SMARCC1,SMARCD2,SMARCD3	0.012333	0.0011	0.2176	1.668|0.909|0.886|0.798|0.558|0.37|0.242|0.168|0.147|0.0|0.0|0.0|0.0|0.0|0.0	15|132|144|221|645|1521|2503|3252|3482|18217|18217|18217|18217|18217|18217	39|21|25|16|6|10|13|3|3|3|3|2|9|3|4
6	19092	GO:0035517	BAP1,ASXL2,ASXL3,ASXL1	0.006710	0.0014	0.2176	0.902|0.704|0.636|0.0	137|326|440|18217	12|15|26|10
7	19717	GO:1990075	USH2A,KIF17,RP2,KIFAP3	0.006917	0.0015	0.2176	1.101|1.004|0.287|0.025	59|88|2114|4964	61|14|4|8
8	19211	GO:0043232	4164 genes including: TP53,GATA3,CDH1,NCOR1,FOXA1,AKT1,BRCA2,ARID1A,MYH9,TTN,NF1,CTCF,AKAP9,BRCA1,CASP8,PIWIL1,KMT2E,TAF1,SRCAP,RAPGEF6,KDM6A,CHD4,RP1,DMD,USH2A	0.082846	0.0018	0.2176	4.24|3.238|3.233|1.987|1.82|1.712|1.688|1.668|1.609|1.49|1.437|1.393|1.37|1.35|1.337|1.264|1.262|1.225|1.223|1.21|1.173|1.171|1.141|1.105|1.101	1|3|4|10|12|13|14|15|18|21|23|25|27|28|29|34|35|40|41|43|47|48|54|58|59	346|127|127|50|31|27|29|39|30|189|37|21|30|27|18|22|19|24|27|23|21|26|27|50|61
9	19300	GO:0044666	KMT2C,KDM6A,KMT2D,RBBP5,DPY30,AC120114.4,WDR5,ASH2L,KDM6B,PAGR1,PAXIP1,UTY	0.007275	0.0018	0.2176	2.597|1.173|0.695|0.226|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	6|47|345|2652|18217|18217|18217|18217|18217|18217|18217|18217	97|21|32|5|0|0|2|7|4|2|6|0
10	18277	GO:0000785	533 genes including: TP53,GATA3,NCOR1,ARID1A,KMT2E,TAF1,SRCAP,KDM6A,CHD4,NRIP1,POGZ,HIST1H2BC,PLK2,ARID1B,RB1,JMJD1C,HIST1H2AK,ORC2,MED1,MEN1,ZEB2,MAGED1,SMARCA4,SLX4,CREBBP	0.128070	0.0022	0.2418	4.24|3.238|1.987|1.668|1.262|1.225|1.223|1.173|1.171|1.05|0.981|0.92|0.915|0.909|0.886|0.872|0.853|0.848|0.833|0.833|0.812|0.809|0.798|0.776|0.713	1|3|10|15|35|40|41|47|48|76|101|126|130|132|144|151|168|172|184|184|207|212|221|245|314	346|127|50|39|19|24|27|21|26|13|14|9|12|21|25|20|8|10|14|11|14|12|16|13|21
11	18401	GO:0005669	40 genes including: TP53,TAF1,TAF1L,TBP,ERCC1,TCEA1,GTF2E2,TAF4B,TAF6,ERCC3,TAF12,TAF5,GTF2A2,GTF2E1,TBPL2,TBPL1,TAF10,EDF1,TAF11,GTF2A1,GTF2B,GTF2F1,GTF2H2,GTF2H3,GTF2H4	0.007313	0.0025	0.2511	4.24|1.225|1.069|0.51|0.271|0.271|0.256|0.19|0.117|0.11|0.095|0.051|0.034|0.031|0.009|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|40|68|824|2260|2260|2374|3021|3833|3913|4073|4610|4851|4892|5192|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	346|24|22|6|4|4|4|9|5|6|2|7|1|4|4|0|0|0|0|3|2|2|0|3|0
12	18285	GO:0000795	40 genes including: BRCA2,BRCA1,MSH5,SYN1,CCDC155,SMC1B,REC8,HORMAD1,BLM,HSPA2,MLH1,STAG3,FAM9C,FAM9A,SMC3,FAM9B,HORMAD2,SYCP1,P3H4,UBE2I,INCENP,MEI4,C14orf39,CCNB1IP1,TEX11	0.009056	0.0027	0.2511	1.688|1.35|1.022|0.818|0.599|0.519|0.503|0.488|0.462|0.451|0.379|0.152|0.097|0.052|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	14|28|82|201|537|784|853|922|1040|1070|1469|3429|4052|4589|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	29|27|11|10|8|10|8|6|16|6|8|9|2|4|7|2|1|11|0|0|6|0|6|3|6
13	19677	GO:0120111	72 genes including: MAP2K4,MAP1A,KIF17,KIF4A,SYBU,DST,KIF5B,FMR1,KIF1A,TRAK2,AP3M1,MAP2,KCNAB1,SPAST,GRIK2,RAB21,BLOC1S6,BLOC1S5,AP3M2,SOD1,KIF1C,WLS,ABHD13,MGARP,PAFAH1B1	0.031977	0.0032	0.2645	2.138|1.064|1.004|0.995|0.882|0.819|0.774|0.694|0.6|0.535|0.491|0.459|0.422|0.403|0.382|0.33|0.316|0.278|0.277|0.269|0.266|0.263|0.242|0.213|0.196	8|71|88|92|146|200|247|346|532|726|906|1050|1208|1327|1450|1799|1903|2200|2210|2276|2303|2328|2503|2778|2950	42|27|14|22|14|32|12|12|11|9|6|19|6|5|15|4|3|3|4|3|7|7|5|3|4
14	19654	GO:0099055	GRIN2A,NLGN3,NLGN2,CDH9,ADORA1,ADORA2A,NLGN1,GSG1L,CDH2,PTPRS	0.003987	0.0034	0.2645	1.048|0.83|0.529|0.449|0.256|0.138|0.006|0.0|0.0|0.0	77|187|742|1081|2374|3589|5232|18217|18217|18217	22|13|7|13|4|3|6|2|3|5
15	19299	GO:0044615	TPR,RANBP2,POM121,POM121L2,NUP153,NUP98,POM121L12,NUP214,NUP35,NPAP1	0.003417	0.0035	0.2645	1.096|1.064|0.596|0.382|0.299|0.076|0.001|0.0|0.0|0.0	62|71|547|1450|2026|4292|5308|18217|18217|18217	27|22|9|10|11|12|3|10|2|6
16	18528	GO:0005886	5459 genes including: PIK3CA,CDH1,PTEN,AKT1,PIK3R1,ERBB2,MYH9,HMCN1,MUC17,AKAP9,BRCA1,CASP8,PHKA2,KMT2E,ERBB3,RAPGEF6,ATP7A,ABCA7,MUC4,F5,CSMD3,CACNA1E,DMD,USH2A,GRID2	0.058380	0.0050	0.3556	4.156|3.233|2.456|1.712|1.655|1.61|1.609|1.53|1.457|1.37|1.35|1.337|1.271|1.262|1.214|1.21|1.192|1.188|1.15|1.148|1.138|1.135|1.105|1.101|1.073	2|4|7|13|16|17|18|20|22|27|28|29|31|35|42|43|44|45|51|52|55|56|58|59|67	346|127|58|27|29|30|30|61|45|30|27|18|22|19|20|23|18|14|46|27|44|37|50|61|14
17	18601	GO:0009925	35 genes including: ERBB2,ERBB3,DST,TF,MUC20,CD34,MST1R,ITGA9,EPS15,OSCP1,PKD2,MYO1A,ITGA6,AQP5,C5AR2,P2RY12,SHROOM4,MYO1C,LDLRAP1,KCNQ4,BMPR2,TACSTD2,TEK,CLCA2,SLC23A1	0.003574	0.0058	0.3656	1.61|1.214|0.819|0.577|0.546|0.527|0.482|0.406|0.338|0.292|0.276|0.214|0.177|0.1|0.027|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	17|42|200|595|678|747|952|1314|1741|2086|2222|2768|3152|4016|4936|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	30|20|32|10|6|6|6|6|8|5|8|8|9|2|2|1|9|6|1|4|7|0|11|4|2
18	18508	GO:0005856	2148 genes including: CDH1,NCOR1,AKT1,BRCA2,MYH9,TTN,AKAP9,BRCA1,CASP8,KMT2E,RAPGEF6,CHD4,RP1,DMD,USH2A,TPR,EML5,MAP1A,RANBP2,TCHH,MYO18B,RPGR,AKAP12,ANKRD26,KIF17	0.073120	0.0065	0.3656	3.233|1.987|1.712|1.688|1.609|1.49|1.37|1.35|1.337|1.262|1.21|1.171|1.141|1.105|1.101|1.096|1.095|1.064|1.064|1.056|1.032|1.018|1.015|1.005|1.004	4|10|13|14|18|21|27|28|29|35|43|48|54|58|59|62|63|71|71|75|80|83|84|87|88	127|50|27|29|30|189|30|27|18|19|23|26|27|50|61|27|20|27|22|25|27|19|17|18|14
19	19078	GO:0035097	91 genes including: KMT2C,TAF1,KDM5B,KDM6A,POGZ,PRDM10,MEN1,HCFC1,KMT2D,SUZ12,HCFC2,KANSL1,KMT2B,USF1,PHF20,KDM4A,PRMT5,DYDC1,WDR82,H2AFY2,RBBP5,NCOA6,EED,RNF2,CBX5	0.016766	0.0065	0.3656	2.597|1.225|1.181|1.173|0.981|0.959|0.833|0.743|0.695|0.603|0.561|0.522|0.507|0.462|0.403|0.381|0.342|0.324|0.269|0.268|0.226|0.178|0.161|0.152|0.144	6|40|46|47|101|111|184|279|345|522|634|768|843|1040|1327|1455|1716|1847|2276|2285|2652|3148|3334|3429|3521	97|24|19|21|14|16|11|16|32|9|10|10|14|5|9|9|7|3|4|4|5|20|4|3|2
20	18386	GO:0005642	RANBP2,NUP62,XPO1,EIF5A,BICD2	0.002296	0.0068	0.3656	1.064|0.531|0.494|0.0|0.0	71|735|892|18217|18217	22|6|14|0|1
21	18836	GO:0031235	SPTA1,SPTB,RASA3,PRMT8,MIEN1,NPHS2,PALM	0.002310	0.0069	0.3656	0.629|0.599|0.595|0.237|0.185|0.0|0.0	458|537|549|2541|3077|18217|18217	53|18|8|5|2|1|2
22	18642	GO:0016459	70 genes including: MYH9,TTN,MYO18B,MYO6,MYO7B,MYO10,MYH7,ACTG2,MYOM3,MYH7B,MYO16,MYH14,CGN,MYH8,MYH10,MYBPC3,MYO7A,MYBPC2,MYL6,MYO1A,MYL5,MYL6B,MYL12B,MYL4,MYH4	0.035809	0.0073	0.3656	1.609|1.49|1.032|0.932|0.868|0.833|0.755|0.609|0.568|0.567|0.545|0.489|0.467|0.442|0.386|0.379|0.351|0.34|0.322|0.214|0.129|0.118|0.077|0.07|0.039	18|21|80|122|155|184|261|505|614|619|682|918|1020|1108|1427|1469|1646|1729|1862|2768|3691|3822|4279|4356|4783	30|189|27|14|21|25|22|7|13|18|21|18|11|20|15|11|19|9|3|8|2|2|2|2|18
23	18638	GO:0016328	57 genes including: CDH1,ERBB3,DMD,DLG1,MARK2,VANGL2,VANGL1,GPSM2,TBCD,IQGAP3,RAB13,ANXA1,MYO1A,CLDN12,AXIN1,GJA1,IQGAP1,DSG1,DSG2,MTCL1,CTNNB1,EPCAM,MYO1C,PTPRO,NUMA1	0.005145	0.0078	0.3656	3.233|1.214|1.105|0.704|0.609|0.556|0.548|0.518|0.392|0.39|0.367|0.347|0.214|0.127|0.112|0.053|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	4|42|58|326|505|648|673|789|1388|1401|1544|1676|2768|3713|3888|4579|18217|18217|18217|18217|18217|18217|18217|18217|18217	127|20|50|16|9|8|7|11|9|12|4|5|8|3|7|5|6|5|2|0|2|0|6|7|12
24	18280	GO:0000790	366 genes including: TP53,GATA3,NCOR1,ARID1A,TAF1,SRCAP,KDM6A,CHD4,NRIP1,POGZ,ARID1B,RB1,HIST1H2AK,MEN1,ZEB2,SMARCA4,SLX4,CREBBP,ASXL2,SIN3A,NCOA1,ASXL3,HIST1H3F,SMARCA1,SUZ12	0.063821	0.0085	0.3656	4.24|3.238|1.987|1.668|1.225|1.223|1.173|1.171|1.05|0.981|0.909|0.886|0.853|0.833|0.812|0.798|0.776|0.713|0.704|0.69|0.649|0.636|0.619|0.604|0.603	1|3|10|15|40|41|47|48|76|101|132|144|168|184|207|221|245|314|326|359|424|440|482|517|522	346|127|50|39|24|27|21|26|13|14|21|25|8|11|14|16|13|21|15|13|9|26|6|13|9
25	19511	GO:0090723	FMR1,PPP1R9A,EXOC4,APP,GAP43,TRPV2,LAMP5,PAFAH1B1,EXOC7,APBB1,ARPC3,CYFIP1,NECTIN1,NDEL1,YWHAE,ZFYVE27	0.001766	0.0087	0.3656	0.694|0.661|0.658|0.538|0.496|0.352|0.213|0.196|0.12|0.0|0.0|0.0|0.0|0.0|0.0|0.0	346|400|403|711|883|1637|2778|2950|3796|18217|18217|18217|18217|18217|18217|18217	12|15|8|12|6|8|4|4|7|3|0|12|0|0|0|2
